id,period,timestamp,minute,second,possession,duration,match_id,play_pattern_id,play_pattern_name,team_name,player_id,player_name,position_id,position_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,ps,x,y,outcome_name,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,end_z,shot_key_pass_id
b8ea3d19-253a-4dbf-885f-ef6347d502bd,2,36:21.5,81,21,145,0.437599,3857265,2,From Corner,Poland,44166,Jakub Piotr Kiwior,5,Left Center Back,115.7,34.8,37,Head,87,Open Play,FALSE,113.3,41.7,notgoal,0.12449861,93,Normal,,,eb5bf0f9-0145-47bc-9a22-f4a50f54fea3
9fa36176-ea62-4664-b6f2-a824a03ec52c,2,48:52.6,93,52,166,0.571713,3857265,1,Regular Play,Poland,31955,Jakub Kamiński,12,Right Midfield,117.1,34.8,38,Left Foot,87,Open Play,FALSE,109.4,24.8,notgoal,0.04959144,93,Normal,TRUE,2,6f49ca24-492f-4224-93ec-b534ce6038de
b1d295df-10b0-489d-b603-23c037c120c4,2,50:25.8,95,25,177,1.05113,3857265,1,Regular Play,Poland,3637,Grzegorz Krychowiak,9,Right Defensive Midfield,120,35,40,Right Foot,87,Open Play,FALSE,90.9,48.7,notgoal,0.02170277,93,Normal,,3.3,473ea0e0-68e2-4850-a592-06407aa81a98
2c53d9e8-7e29-4955-bbc5-2bbd708b8c63,2,50:54.0,95,53,178,1.068013,3857265,7,From Goal Kick,Mexico,15452,Carlos Uriel Antuna Romero,17,Right Wing,116.8,43.8,38,Left Foot,87,Open Play,FALSE,101.9,56.4,notgoal,0.0400392,93,Normal,,0.2,39226188-5259-47e1-90ff-2626d1e7cb7e
546940d1-bfb5-43e1-9187-da6b5052e120,1,05:21.1,5,21,12,0.073838,3857266,1,Regular Play,France,5477,Ousmane Dembélé,17,Right Wing,99.3,38.3,40,Right Foot,87,Open Play,FALSE,97.8,38,notgoal,0.04759094,93,Normal,,,e821c878-f62e-4e30-8cfe-25422eaf8194
01f63d7d-2d5a-48e1-9c09-f70cdfbbf488,1,09:09.7,9,9,15,0.07938,3857266,4,From Throw In,France,3026,Adrien Rabiot,11,Left Defensive Midfield,115.9,44.9,37,Head,87,Open Play,FALSE,115,45.6,notgoal,0.10936305,93,Normal,,,51e8476c-74a6-40f7-bece-cb8d816f9c59
7e3fa3b3-07c0-4b3e-8665-a917a6936c17,1,12:35.0,12,34,20,0.762203,3857266,2,From Corner,France,5485,Raphaël Varane,3,Right Center Back,115.7,40,37,Head,87,Open Play,FALSE,112.4,46.9,notgoal,0.0425816,93,Normal,,,17a236f1-279a-4c6a-9395-4019790848b9
72e93c87-a1d0-4511-b6ad-92d08f230b19,1,14:53.1,14,53,22,0.373781,3857266,1,Regular Play,France,3604,Olivier Giroud,23,Center Forward,120,23,37,Head,87,Open Play,FALSE,111.9,38.9,notgoal,0.11903284,93,Normal,,,a1f306b1-7e5c-4a7f-a8ea-dfa77aabd69b
1f3a4095-aec4-4475-8b87-ba40ba707855,1,20:19.0,20,18,32,0.630068,3857266,3,From Free Kick,France,3026,Adrien Rabiot,11,Left Defensive Midfield,118.6,40.4,37,Head,87,Open Play,FALSE,108.9,44.3,notgoal,0.04225832,93,Normal,,1.8,be945291-62d3-4751-af94-195066a8d4c4
656f2b0b-d5e2-423c-bc40-51509b696411,1,29:53.3,29,53,50,0.624897,3857266,7,From Goal Kick,France,4445,Jules Koundé,2,Right Back,116.3,43,40,Right Foot,87,Open Play,FALSE,109,56.2,notgoal,0.02881258,91,Half Volley,,,640c9a68-9d87-46a7-b7f4-5ac7cc796fb3
a5aa110a-a294-4d37-9e97-d794ec2d34cc,1,32:48.9,32,48,56,0.466379,3857266,6,From Counter,France,5487,Antoine Griezmann,19,Center Attacking Midfield,119.4,35.4,38,Left Foot,87,Open Play,FALSE,118.2,23.1,notgoal,0.010852635,93,Normal,,0.2,24ec197e-ea07-4549-a0c4-030eef490bd5
