match_id,match_date,home_score,away_score,match_week,home_team_id,home_team_name,home_team_group,home_team_managers_name,away_team_id,away_team_name,away_team_group,away_team_managers_name,competition_stage_name,stadium_name,referee_name,referee_country_name
3857284,2022-11-23,1,2,1,770,Germany,E,Hans-Dieter Flick,778,Japan,E,Hajime Moriyasu,Group Stage,Sheikh Khalifa International Stadium,Ivan Arcides Barton Cisneros,El Salvador
3857282,2022-11-21,1,1,1,1839,United States,B,Gregg Berhalter,907,Wales,B,Robert Page,Group Stage,Ahmad bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Qatar
3857286,2022-11-20,0,2,1,3566,Qatar,A,Félix Sánchez Bas,3565,Ecuador,A,Gustavo Julio Alfaro,Group Stage,Al Bayt Stadium,Daniele Orsato,Italy
3857301,2022-11-25,1,3,2,3566,Qatar,A,Félix Sánchez Bas,787,Senegal,A,Aliou Cissé,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Spain
3857300,2022-11-22,1,2,1,779,Argentina,C,Lionel Sebastián Scaloni,799,Saudi Arabia,C,Hervé Renard,Group Stage,Lusail Stadium,Slavko Vinčić,Slovenia
3857299,2022-11-28,2,3,2,791,South Korea,H,Paulo Jorge Gomes Bento,4885,Ghana,H,Otto Addo,Group Stage,Education City Stadium ,Anthony Taylor,England
3857298,2022-11-24,3,2,1,780,Portugal,H,Fernando Manuel Fernandes da Costa Santos,4885,Ghana,H,Otto Addo,Group Stage,Stadium 974,Ismail Elfath,United States of America
3857297,2022-11-26,2,0,2,789,Poland,C,Czesław Michniewicz,799,Saudi Arabia,C,Hervé Renard,Group Stage,Education City Stadium ,Wilton Pereira Sampaio,Brazil
3857296,2022-12-01,0,0,3,785,Croatia,F,Zlatko Dalić,782,Belgium,F,Roberto Martínez Montoliú,Group Stage,Ahmad bin Ali Stadium,Anthony Taylor,England
3857293,2022-12-02,0,2,3,4885,Ghana,H,Otto Addo,783,Uruguay,H,Diego Martín Alonso López,Group Stage,Al Janoub Stadium   ,Daniel Siebert,Germany
3857292,2022-12-01,2,4,3,795,Costa Rica,E,Luis Fernando Suárez Guzman,770,Germany,E,Hans-Dieter Flick,Group Stage,Al Bayt Stadium,Stéphanie Frappart,France
