match_id,team_name,period,minute,player_name,shot_statsbomb_xg,shot_key_pass_id,autogoal,minute_print
3857279,Australia,1,9,Craig Goodwin,0.19147108,c941b9bd-7880-472d-b416-0a4ce8c88320,FALSE,9
3857279,France,1,27,Adrien Rabiot,0.16905431,ab5d447b-1c2e-4fa8-8163-b4c3ef4b7bac,FALSE,27
3857279,France,1,32,Olivier Giroud,0.77927965,ad94ed77-de43-4b49-8a9b-e8c0a4915c5e,FALSE,32
3857279,France,2,68,Kylian Mbappé,0.14142905,e9da52cf-27ff-4474-90d1-f98a603a36b4,FALSE,68
3857279,France,2,71,Olivier Giroud,0.16888039,138fbfd0-ccae-4599-83b0-b1ec8a25d13c,FALSE,71
3857280,Cameroon,2,92,Vincent Aboubakar,0.05544736,e64b86aa-0e26-43f5-af76-7c0e50b06a0c,FALSE,90+2
3857281,Canada,1,2,Alphonso Davies,0.08130363,32089881-baaa-41d5-b07b-2af94bc4c6ba,FALSE,2
3857281,Croatia,1,36,Andrej Kramarić,0.14639324,b4225053-54a4-4497-a5af-8757c83925fb,FALSE,36
3857281,Croatia,1,44,Marko Livaja,0.13916126,84a76404-7d89-47e2-8ea2-168a5dcf56af,FALSE,44
3857281,Croatia,2,70,Andrej Kramarić,0.10933437,04fbbb36-4ada-45ac-b155-a7bf380f6ada,FALSE,70
3857281,Croatia,2,94,Lovro Majer,0.68703645,799bff4a-bc72-4db5-bd5a-ce550f9e52cc,FALSE,90+4
3857282,United States,1,36,Timothy Weah,0.20100605,2bc1fcff-c5d0-4b0f-9883-0daf41be446b,FALSE,36
3857282,Wales,2,82,Gareth  Bale,0.7835,,FALSE,82
3857283,Morocco,2,73,Romain Saïss,0.56495196,990b80d6-ff73-4dd9-a466-3b4cd43d6ea4,FALSE,73
3857283,Morocco,2,92,Zakaria Aboukhlal,0.18104906,dd0754f9-a414-4a99-b7da-dfd147b66f74,FALSE,90+2
3857284,Germany,1,33,İlkay Gündoğan,0.7835,,FALSE,33
3857284,Japan,2,75,Ritsu Doan,0.4777511,,FALSE,75
3857284,Japan,2,83,Takuma Asano,0.02668418,bef0afa0-10d2-46a0-9e0e-974ff445f1d0,FALSE,83
3857285,Netherlands,2,84,Cody Mathès Gakpo,0.28603274,50fab211-f03b-44fb-80b3-ba4e9e43232f,FALSE,84
3857285,Netherlands,2,99,Davy Klaassen,0.34814927,,FALSE,90+9
3857286,Ecuador,1,16,Enner Valencia,0.7835,,FALSE,16
3857286,Ecuador,1,31,Enner Valencia,0.08878088,65746b80-3231-4778-9484-dd76814d08f2,FALSE,31
3857288,Australia,1,23,Mitchell Thomas Duke,0.04459479,,FALSE,23
3857289,Argentina,2,64,Lionel Messi,0.033919714,f863d1df-9013-49b8-8be4-4dd50091c735,FALSE,64
3857289,Argentina,2,87,Enzo Fernandez,0.035064373,546f05df-6200-4bc1-9a0d-4356645030ce,FALSE,87
3857290,Switzerland,2,48,Breel-Donald Embolo,0.55189455,d0602f56-89e8-48fa-a794-ce7366c189fd,FALSE,48
3857291,Spain,1,11,Daniel Carvajal,0.48925844,,FALSE,11
3857291,Spain,1,21,Marco Asensio,0.09218961,9a52b36b-2212-443d-b7e3-62c2b0f9615e,FALSE,21
3857291,Spain,1,31,Ferrán Torres,0.7835,,FALSE,31
3857291,Spain,2,54,Ferrán Torres,0.10498973,,FALSE,54
3857291,Spain,2,74,Pablo Martín,0.056229107,030ecf93-949b-4d49-94c1-8b349e3380d1,FALSE,74
3857291,Spain,2,90,Carlos Soler,0.33333436,,FALSE,90
3857291,Spain,2,92,Álvaro Morata,0.16366571,ca1bbb5c-2700-4bad-87c9-0fbe388898b8,FALSE,90+2
3857292,Germany,1,10,Serge Gnabry,0.0895267,d399d269-3b41-4955-9609-0029f8aa6c80,FALSE,10
3857292,Costa Rica,2,58,Yeltsin Tejeda,0.4798206,,FALSE,58
3857292,Costa Rica,2,70,Juan Pablo Vargas,0.18427365,,FALSE,70
3857292,Germany,2,73,Kai Havertz,0.4749194,c9bcdbb5-5e24-40a8-af1f-d0f5713dd9fa,FALSE,73
3857292,Germany,2,85,Kai Havertz,0.31018513,b7ad99ec-f252-453a-bead-bec3a1ba675b,FALSE,85
3857292,Germany,2,89,Niclas Füllkrug,0.510154,dcc30c4b-0ee0-4636-a07e-fe94b81977b3,FALSE,89
3857293,Uruguay,1,26,Giorgian De Arrascaeta,0.71106935,,FALSE,26
3857293,Uruguay,1,32,Giorgian De Arrascaeta,0.16736692,ab236c33-e231-4ac6-ad9c-26886072128f,FALSE,32
3857294,Netherlands,1,26,Cody Gakpo,0.14035599,c0318bc1-d498-47d4-b3c1-09a865cea85b,FALSE,26
3857294,Netherlands,2,49,Frenkie de Jong,0.6883914,,FALSE,49
3857295,Costa Rica,2,81,Keysher Fuller,0.120298475,49ae6945-3116-4177-8c79-9bbec76fbe7c,FALSE,81
3857297,Poland,1,39,Piotr Zieliński,0.23496674,51afec32-b82a-42f6-b701-0be33faf1355,FALSE,39
3857297,Poland,2,82,Robert Lewandowski,0.47824246,,FALSE,82
3857298,Portugal,2,65,Cristiano Ronaldo,0.7835,,FALSE,65
3857298,Ghana,2,73,André Ayew,0.48524466,,FALSE,73
3857298,Portugal,2,78,João Félix,0.21504128,ab988afc-6267-4e40-8f71-bf8bf251d0a3,FALSE,78
3857298,Portugal,2,80,Rafael Leão,0.15539157,a83e093d-9d58-4836-b69b-e90a859b2a06,FALSE,80
3857298,Ghana,2,89,Osman Bukari,0.15547352,,FALSE,89
3857299,Ghana,1,24,Mohamed Salisu,0.4040968,,FALSE,24
3857299,Ghana,1,34,Mohammed Kudus,0.20083603,c17045d4-f373-4296-9904-72ca93a80d26,FALSE,34
3857299,South Korea,2,58,Gue-Sung Cho,0.23484395,e8cbc295-6ce3-4a35-812a-b7a0a156ba0a,FALSE,58
3857299,South Korea,2,61,Gue-Sung Cho,0.16237147,858c9c8c-aed5-454c-b101-95c075ad4084,FALSE,61
3857299,Ghana,2,68,Mohammed Kudus,0.15416233,,FALSE,68
3857300,Argentina,1,10,Lionel Messi,0.7835,,FALSE,10
3857300,Saudi Arabia,2,48,Saleh Al Shehri,0.080592275,87640299-6d15-46b0-97bf-d1d4e0cf82d7,FALSE,48
3857300,Saudi Arabia,2,53,Salem Al Dawsari,0.03280492,,FALSE,53
3857301,Senegal,1,41,Boulaye Dia,0.23054633,,FALSE,41
3857301,Senegal,2,48,Famara Diedhiou,0.038498666,2ae1ca9f-6ccf-4f0d-a4f0-f81628af87ec,FALSE,48
3857301,Qatar,2,78,Mohammed Muntari,0.072239615,dd8b0e2c-479b-408e-91d0-283c93b99fee,FALSE,78
3857301,Senegal,2,84,Bamba Dieng,0.11607656,32441adc-a78b-42b3-82d9-ad6867dcf7cd,FALSE,84
3869117,Netherlands,1,10,Memphis Depay,0.16183718,f13d1fcc-d78b-4932-a6ae-f24f0e153753,FALSE,10
3869117,Netherlands,1,46,Daley Blind,0.2502288,5d1250be-c8e9-432d-b247-f7859c44621f,FALSE,45+1
3869117,United States,2,76,Haji Wright,0.3636808,a918179e-b1c1-42e5-85a3-ee86c89e46de,FALSE,76
3869117,Netherlands,2,81,Denzel Dumfries,0.23592436,37815b7c-d14e-49eb-bd96-335bb180e3f8,FALSE,81
3869118,England,1,39,Jordan Henderson,0.13174866,013e7531-156f-4234-8530-bbfb2d629efa,FALSE,39
3869118,England,1,48,Harry Kane,0.20664306,,FALSE,45+3
3869118,England,2,57,Bukayo Saka,0.21738943,d8f31d46-a49c-42ae-9f6f-13914df7d68b,FALSE,57
3869151,Argentina,1,35,Lionel Messi,0.06663833,7c8c4c58-fd12-4739-90d0-6c7708632504,FALSE,35
3869151,Argentina,2,57,Julián Álvarez,0.28060678,,FALSE,57
3869151,Australia,2,77,Enzo Fernandez,,,TRUE,77
3869152,France,1,44,Olivier Giroud,0.28635955,44668f7c-f6b9-49f3-b9f6-5eec1be71118,FALSE,44
3869152,France,2,74,Kylian Mbappé,0.08738103,48b23fc9-cdaf-4c1a-bcf7-37b517193ad8,FALSE,74
3869152,France,2,91,Kylian Mbappé,0.042708755,454aaf75-1c01-4ddf-9f35-47e352bdf76d,FALSE,90+1
3869152,Poland,2,99,Robert Lewandowski,0.7835,,FALSE,90+9
3869219,Japan,1,43,Daizen Maeda,0.45874894,,FALSE,43
3869219,Croatia,2,55,Ivan Perišić,0.02684295,ab92177f-bcd5-47fb-8571-6764e67f8d4c,FALSE,55
3869253,Brazil,1,7,Vinícius,0.13057186,,FALSE,7
3869253,Brazil,1,13,Neymar,0.7835,,FALSE,13
3869253,Brazil,1,29,Richarlison ,0.5379008,76155004-973a-44fd-a3f4-2f5783d8b188,FALSE,29
3869253,Brazil,1,36,Lucas Paqueta,0.08633457,4159ef0f-fd3b-4beb-ab2a-13eb9853feb7,FALSE,36
3869253,South Korea,2,76,Seung-Ho Paik,0.023081098,,FALSE,76
3869254,Portugal,1,17,Gonçalo Ramos,0.10102074,cfb53e79-02dd-4c2a-859c-cbce3222c7b0,FALSE,17
3869254,Portugal,1,33,Pepe,0.12779379,1b97f3ce-c6d7-4d54-9f2d-1491a6555071,FALSE,33
3869254,Portugal,2,51,Gonçalo Ramos,0.5086819,,FALSE,51
3869254,Portugal,2,55,Raphaël Guerreiro,0.35848966,0a7640ec-989c-4a8a-9cf0-abe067ea17cb,FALSE,55
3869254,Switzerland,2,58,Manuel Akanji,0.6688656,,FALSE,58
3869254,Portugal,2,67,Gonçalo Ramos,0.46699882,000602f3-78bc-4c58-a319-6503ecac9961,FALSE,67
3869254,Portugal,2,92,Rafael Leão,0.010257767,3b24528c-5743-4a92-8933-bc1bbf9e270b,FALSE,90+2
3869321,Argentina,1,35,Molin,0.43442267,50ab1047-1fc5-4e14-9a0a-e8eea1cb313e,FALSE,35
3869321,Argentina,2,73,Lionel Messi,0.7835,,FALSE,73
3869321,Netherlands,2,83,Wout Weghorst,0.047416847,b46d972a-cd12-429c-a8b0-6eba36715e73,FALSE,83
3869321,Netherlands,2,101,Wout Weghorst,0.21959315,4400892e-838d-4861-9e2e-00d367cec215,FALSE,90+11
3869354,France,1,17,Tchouaméni,0.027870113,d13170eb-a5a7-496d-88ad-0481fd6302d3,FALSE,17
3869354,England,2,54,Harry Kane,0.7835,,FALSE,54
3869354,France,2,78,Olivier Giroud,0.14665264,a41efd98-9524-42f6-99c0-1caaeca64c35,FALSE,78
3869420,Brazil,3,106,Neymar,0.4674385,f48b4fe9-97c6-4e96-b9d0-5ca3e42cee96,FALSE,106
3869420,Croatia,4,117,Bruno Petković,0.09977819,0d32682f-0734-439c-ac74-d1fd74e995c4,FALSE,117
3869486,Morocco,1,42,Youssef En-Nesyri,0.20030825,3f854ce6-f91a-400f-8347-aa7290bd9b5e,FALSE,42
3869519,Argentina,1,34,Lionel Messi,0.7835,,FALSE,34
3869519,Argentina,1,39,Julián Álvarez,0.36172354,,FALSE,39
3869519,Argentina,2,69,Julián Álvarez,0.33366448,345913c9-1bf5-4ce0-9868-9de9d4685289,FALSE,69
3869552,France,1,5,Theo Hernández,0.0979349,,FALSE,5
3869552,France,2,79,Kolo Muani,0.8521293,,FALSE,79
3869684,Croatia,1,7,Joško Gvardiol,0.1243582,6f4d2d0f-d8c3-4f6c-9e5e-00325b201464,FALSE,7
3869684,Morocco,1,9,Achraf Dari,0.4178385,,FALSE,9
3869684,Croatia,1,42,Mislav Oršić,0.013095795,21aadd20-531f-408a-ab68-6af81aaf34c6,FALSE,42
3869685,Argentina,1,23,Lionel Messi,0.7835,,FALSE,23
3869685,Argentina,1,36,Ángel Di María,0.30340916,ed70825d-8a40-470d-8b30-fd315ab5f0a6,FALSE,36
3869685,France,2,80,Kylian Mbappé,0.7835,,FALSE,80
3869685,France,2,81,Kylian Mbappé,0.1017027,7b1441f1-4911-44d7-ac4b-f3f8f11daa76,FALSE,81
3869685,Argentina,4,108,Lionel Messi,0.48840353,,FALSE,108
3869685,France,4,118,Kylian Mbappé,0.7835,,FALSE,118
